Date_Time,% On-TimeGateArrivals,AverageBlockDelay,AverageTaxiInDelay,AverageAirborneDelay,AverageAirportDepartureDelay,AverageGateDepartureDelay,AverageGateArrivalDelay
2019-04-20 01:00:00,100.0,0.0,2.0,0.0,24.0,19.2,3.0
2019-04-21 01:00:00,66.67,5.33,3.73,3.33,0.0,0.0,14.33
2019-04-22 01:00:00,50.0,1.75,0.55,0.0,1.5,0.0,10.25
2019-04-23 01:00:00,100.0,0.0,0.03,0.0,0.0,0.0,0.67
2019-04-24 01:00:00,100.0,16.0,12.0,0.0,8.5,0.0,0.0
2019-04-25 01:00:00,100.0,0.0,2.55,0.0,9.25,7.5,0.0
2019-04-26 01:00:00,50.0,3.5,3.05,1.5,42.0,31.67,9.0
2019-04-27 01:00:00,100.0,0.0,0.0,0.0,16.8,6.2,0.0
2019-04-28 01:00:00,0.0,19.0,7.1,8.5,14.0,0.0,57.5
2019-04-29 01:00:00,100.0,0.0,0.0,0.0,11.5,0.0,0.0
2019-04-30 01:00:00,100.0,0.0,0.0,0.0,17.25,10.0,0.0
2019-05-01 01:00:00,0.0,11.0,4.2,5.0,24.0,13.0,44.0
2019-05-02 01:00:00,100.0,3.67,3.37,0.0,2.0,0.0,1.67
2019-05-03 01:00:00,100.0,0.0,4.0,0.0,24.6,19.2,0.0
2019-05-04 01:00:00,100.0,0.0,0.0,0.0,20.6,13.2,0.0
2019-05-05 01:00:00,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2019-05-06 01:00:00,100.0,0.0,1.55,0.0,3.0,0.0,0.0
2019-05-07 01:00:00,100.0,0.0,5.0,0.0,0.0,0.0,0.0
2019-05-08 01:00:00,0.0,0.0,0.0,0.0,11.5,0.0,0.0
2019-05-09 01:00:00,100.0,2.0,0.0,1.0,34.25,28.75,0.0
2019-05-10 01:00:00,100.0,0.0,2.05,0.0,17.0,10.0,4.5
2019-05-11 01:00:00,100.0,0.0,1.0,0.0,10.25,0.0,0.0
2019-05-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-13 01:00:00,75.0,0.0,0.8,0.0,33.0,29.0,5.5
2019-05-14 01:00:00,100.0,0.0,0.0,0.0,2.5,0.25,0.0
2019-05-15 01:00:00,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2019-05-16 01:00:00,100.0,1.0,2.55,0.0,17.0,11.0,0.5
2019-05-17 01:00:00,100.0,1.0,4.0,0.0,35.0,21.33,1.0
2019-05-18 01:00:00,100.0,0.0,1.0,0.0,20.4,11.2,0.0
2019-05-19 01:00:00,100.0,0.0,3.1,0.0,9.0,0.0,0.5
2019-05-20 01:00:00,50.0,1.0,0.08,0.25,28.0,24.4,8.0
2019-05-21 01:00:00,100.0,1.0,9.6,0.0,2.5,0.0,1.5
2019-05-22 01:00:00,100.0,21.0,4.1,18.0,19.0,12.0,6.0
2019-05-23 01:00:00,100.0,0.0,0.0,0.0,8.25,4.25,0.0
2019-05-24 01:00:00,100.0,7.33,0.07,4.67,14.67,7.0,4.33
2019-05-25 01:00:00,100.0,0.0,1.0,0.0,26.0,13.67,0.0
2019-05-26 01:00:00,0.0,9.0,8.1,0.0,4.67,0.0,16.0
2019-05-27 01:00:00,0.0,2.0,8.1,0.0,6.0,0.0,20.0
2019-05-28 01:00:00,0.0,0.0,0.0,0.0,0.67,0.0,0.0
2019-05-29 01:00:00,100.0,1.0,6.1,0.0,20.0,10.5,0.0
2019-05-30 01:00:00,100.0,0.0,1.0,0.0,21.75,17.5,0.0
2019-05-31 01:00:00,50.0,2.0,1.05,0.0,21.0,11.0,21.0
2019-03-01 02:00:00,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2019-03-02 02:00:00,0.0,0.0,0.0,0.0,80.0,70.0,0.0
2019-03-03 02:00:00,0.0,0.0,0.0,0.0,66.0,58.0,0.0
2019-03-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-06 02:00:00,100.0,0.0,3.43,0.0,0.0,0.0,3.67
2019-03-07 02:00:00,0.0,0.0,0.0,0.0,30.0,22.0,0.0
2019-03-08 02:00:00,0.0,27.0,8.1,4.0,17.0,0.0,16.0
2019-03-09 02:00:00,100.0,0.0,8.1,0.0,37.0,28.0,4.0
2019-03-10 02:00:00,0.0,0.0,0.0,0.0,52.0,43.0,0.0
2019-03-11 02:00:00,0.0,0.0,0.0,0.0,19.0,15.5,0.0
2019-03-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-13 02:00:00,100.0,17.0,5.1,11.0,5.5,0.0,12.0
2019-03-14 02:00:00,0.0,0.0,0.0,0.0,47.0,38.67,0.0
2019-03-15 02:00:00,0.0,0.0,0.0,0.0,23.0,5.75,0.0
2019-03-16 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-17 02:00:00,0.0,0.0,0.0,0.0,36.5,33.5,0.0
2019-03-18 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-19 02:00:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2019-03-20 02:00:00,100.0,6.0,5.1,0.0,25.0,8.0,0.0
2019-03-21 02:00:00,0.0,0.0,0.0,0.0,35.33,26.33,0.0
2019-03-22 02:00:00,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2019-03-23 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-24 02:00:00,100.0,12.0,6.1,3.0,25.75,18.25,9.0
2019-03-25 02:00:00,100.0,0.0,8.1,0.0,13.67,10.67,4.0
2019-03-26 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-27 02:00:00,100.0,7.0,2.55,3.5,8.5,0.0,4.5
2019-03-28 02:00:00,0.0,15.0,6.1,6.0,23.33,19.0,48.0
2019-03-29 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-30 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
